,Rank,Article_Name,Url
10,11,『サンモニ』年内卒業、張本勲さんトレンド入り 悲しみつつ「あっぱれ！」と功績たたえる視聴者続々中日スポーツ11/28(日) 10:12,https://news.yahoo.co.jp/articles/2da87f2ce457499d40712b9119e0b17caa7d4062
11,12,川崎希、アレクの誕生日記念に25万円のUSJチケットを購入　「わぁ～い」「これ　最高だよん」と夫婦でテンションMAXねとらぼ11/28(日) 15:17,https://news.yahoo.co.jp/articles/461eae95ef32e5590676d368aea7872e04d12d97
12,13,工場勤務の正社員40代の平均年収はどれくらい？ファイナンシャルフィールド11/28(日) 8:20,https://news.yahoo.co.jp/articles/7a9d6957d46d37f77091ae619b6e7fc9d919833b
13,14,使い始めは65歳「老後の資金」60代の貯蓄の平均・中央値は？LIMO11/28(日) 18:01,https://news.yahoo.co.jp/articles/6483be3b9c3a5f174e588e740e51af0515a1899e
14,15,【ジャパンＣ】武豊騎手ジャパンでＶならず８着「ピークを過ぎているかも」と無念の口ぶりスポーツ報知11/28(日) 17:49,https://news.yahoo.co.jp/articles/6ac47bcbaa41a066a96c20ce019be33734750199
15,16,「あなたの番号は499243」　言われるがまま打つと49万円送金朝日新聞デジタル11/27(土) 10:00,https://news.yahoo.co.jp/articles/5906b55e5c68f7c9ae6be701505e273f38890ddc
16,17,ヤクルト日本一“陰のＭＶＰ”　ナインが「嶋さんの存在」に感謝する理由デイリースポーツ11/28(日) 11:00,https://news.yahoo.co.jp/articles/d9af71a0ee6244c2685542ae04b2d27121a9be92
17,18,DJ KOO、小室哲哉の63歳バースデーに“イケイケ時代”の2ショット　「お2人とも若い」「時代を感じる写真」ねとらぼ11/28(日) 12:20,https://news.yahoo.co.jp/articles/53cf96c2a0b2054f38893bb61c1c7bdcb2ad482e
18,19,コフレドール、藤田ニコルの“誤表記”を謝罪　「二」と「ニ」の違いに反響相次ぐ「気づいた人、すごすぎ」オリコン11/28(日) 11:48,https://news.yahoo.co.jp/articles/7c9e5203ff8ba1dca6fe65620f2d23572308579a
19,20,ヤクルト胴上げ投手のマクガフが帰国「来年、更にパワーアップした自分の投球をお見せできるように」日本テレビ系（NNN）11/28(日) 17:54,https://news.yahoo.co.jp/articles/a9c16713ea84e74f99dabdcfbff26aedba940307
20,21,ホテルのスイートルームにPS5置いてある！ → 石だぁ～　あまりにもPS5な石に爆笑ねとらぼ11/28(日) 18:00,https://news.yahoo.co.jp/articles/687d8c685ffee62dfded981d88ecf29fa60be41b
21,22,松嶋尚美さん　余命13年と診断され…COPD　50歳を機に禁煙を宣言読売新聞（ヨミドクター）11/28(日) 8:12,https://news.yahoo.co.jp/articles/29be06c9d5f36ab2a5631a4f84a0fd91a8d1e2f1
22,23,重さ１トンの肥料の下敷きになり、男性死亡　フォークリフトで作業中、取っ手がちぎれたか岐阜新聞Ｗｅｂ11/28(日) 16:52,https://news.yahoo.co.jp/articles/c62744e9d902ebf9a1d93904eec10e1c17a5bbe7
23,24,涙が止まらない…福永祐一に観客もらい泣き コントレイル有終の美「感動しました」「夢のような時間でした」中日スポーツ11/28(日) 16:23,https://news.yahoo.co.jp/articles/6fc31150ef2511e177240feb3f8a69b7aa9c9be1
24,25,ハブより強い毒を持つヘビ、沖縄で急増　在来種を上回る3300匹捕獲　置き換わりの可能性も沖縄タイムス11/28(日) 9:21,https://news.yahoo.co.jp/articles/cb5adc8a7d1271c44a4282336d5b1abf3ba8f74a
25,26,駅エスカレーターで女性盗撮した会社員、目撃者から逃走も追い掛けられ捕まる　兵庫神戸新聞NEXT11/28(日) 15:00,https://news.yahoo.co.jp/articles/d9688fcfb78965e5be379bf4f8c65f7cc30e73f3
26,27,松本のＪ３降格が決定…名波浩監督「現場の長として責任を感じている」「申し訳ない気持ちでいっぱい」スポーツ報知11/28(日) 16:21,https://news.yahoo.co.jp/articles/244eec0a911f7db7c3424a3669c96505e78d6658
27,28,【全日本実業団対抗女子駅伝】積水化学が悲願の初優勝！新谷仁美「私に花を持たせてくれるはずが」スポニチアネックス11/28(日) 14:45,https://news.yahoo.co.jp/articles/ab9acf1d10a4c1351fa7fad6e79d193f19f770d7
28,29,愛知の同級生刺殺事件 逮捕の少年、修学旅行中の注意に「疎外感を覚えた」ABEMA TIMES11/28(日) 15:08,https://news.yahoo.co.jp/articles/198b75a572af8d819733b571b55e6085c10216cf
29,30,少年、一部行為に「いじめ」供述　愛知の中3刺殺、直前の経緯捜査共同通信11/28(日) 15:29,https://news.yahoo.co.jp/articles/5b1b69329b4140761b5f713aec6f5872346c10bf
30,31,オミクロン株、習氏と同じ「Xi」避けた?　米の対中強硬派が批判毎日新聞11/28(日) 11:46,https://news.yahoo.co.jp/articles/a9b38c7429100dab809a91f69923fa0cf553765f
31,32,安倍元首相が「ジューシー」ツイートで大ウケ　ネットでは３万以上の「いいね」東スポWeb11/28(日) 15:38,https://news.yahoo.co.jp/articles/b5aeced3963e81c2f266982508f16ab7ed393928
32,33,稲見萌寧が2日目の夜、奥嶋誠昭コーチに送った一通のライン「一人で抱え込んで苦しい」ゴルフ情報ALBA.Net11/28(日) 17:13,https://news.yahoo.co.jp/articles/9fc96c4af92106cde0efadee2967f8dd9e6dca9e
33,34,大仏にそっくり「寝仏山」の額がへっこんだ！　何が起こった？　現地に登って確かめてみた山陰中央新報11/28(日) 11:27,https://news.yahoo.co.jp/articles/f18088a6eeed1154db57a156574703e2efe0f954
34,35,「アイツは違いましたね」前中日・藤井淳志氏が語る逸材、来季のブレーク候補は？Full-Count11/28(日) 18:16,https://news.yahoo.co.jp/articles/36d6eaeaa39ab5e73c72729b1dc549737deb1c92
35,36,稲見萌寧が涙の賞金女王！古江彩佳845万円届かず…　三ケ島かなツアー初Vメジャーで飾る　女子最終戦スポニチアネックス11/28(日) 14:43,https://news.yahoo.co.jp/articles/c820e6311443ebe018993924da04cb6e1e08cd04
36,37,【社会人野球】鷹ドラ4野村が劇的な決勝打　NTT西日本が初出場のエイジェックにサヨナラ勝ちFull-Count11/28(日) 16:55,https://news.yahoo.co.jp/articles/e91fa32075868d45d186f8c3480a7031099fe87e
37,38,67万円で5000万円弱を生み出したパナソニックの「すごい取り組み」GetNavi web11/28(日) 10:30,https://news.yahoo.co.jp/articles/967c2b014be3fbbdecb827102dd422bf578cf360
38,39,連合会長「立民と国民の合流求めていく」…共産との共闘は「あり得ない」読売新聞オンライン11/28(日) 17:42,https://news.yahoo.co.jp/articles/59542f2291cf4f1b41d8551b7664f76c512c9d2c
39,40,海外から到着の12人感染共同通信11/28(日) 18:10,https://news.yahoo.co.jp/articles/5638c5e14637b64189fcac412a181e575134314a
